sigma_mem_y,f_mem,sigma_mem,E_mem,nu_mem,sigma_edg,sigma_sup,sigma_mem_max
11768.75903,0.221402355,4547.874277,649337.0173,0.391611026,332993.3565,378846.3206,4843.73005
8627.944928,0.323628231,3881.466326,636903.0308,0.409040589,309129.0055,446426.3754,4933.597717
9868.507175,0.325001814,4306.722143,641535.4431,0.419391782,350997.9969,361505.438,4998.389129
9940.667532,0.285129318,4332.726092,572784.4308,0.381799135,377725.3217,366406.6348,4975.657667
12453.22829,0.247143355,3599.065541,666944.1052,0.401046775,373428.7778,370486.9617,4610.579002
10436.77969,0.392402114,3822.435286,536244.3576,0.384126514,331356.7605,275640.9554,4707.939784
11623.99676,0.328741877,3033.105188,615241.1661,0.410581583,398469.4931,448854.6013,5099.951612
10559.46377,0.382649572,4477.374738,669945.5047,0.404826563,314145.0993,302677.4736,5032.42451
12405.2473,0.356922139,5007.950236,595716.1792,0.404376899,324288.304,477741.2487,5727.124157
9678.156453,0.280994004,3357.699462,642371.4865,0.40411927,359405.0079,433708.6024,4800.08692
9502.868052,0.348282554,3790.839309,625452.3291,0.388976633,365533.3572,547461.5579,5487.864136
11014.78791,0.318200476,3546.540429,596413.5042,0.382647095,385219.2777,316749.5797,4676.715539
11849.78335,0.450140415,2881.068789,628848.3294,0.406749229,415768.3129,392772.6278,5338.227056
10651.5183,0.463045089,4483.532878,653205.1755,0.384336141,339725.7554,341869.9536,5443.725277
10931.89241,0.198499949,4035.281352,605663.8345,0.414149658,320766.6764,332993.3471,4334.733446
10170.91498,0.380932057,4539.452414,699019.1129,0.408008746,402537.9022,443046.7488,5667.600607
12241.80008,0.598531941,4434.888765,671796.2222,0.394037562,375086.5548,404369.7477,6119.635642
13198.75389,0.413039007,3518.010653,527300.8139,0.408243076,331070.164,364505.2782,4893.340102
10201.58515,0.655577846,2794.89257,624183.9294,0.39197443,343174.8684,392666.2529,5621.399575
10045.6605,0.317493263,4219.114816,510030.659,0.402255478,424681.0654,430402.8113,5358.709788
10817.17531,0.298310641,4635.412888,710033.9593,0.405442567,322336.596,446927.8583,5269.570003
9018.599581,0.386482681,3620.029878,611147.4479,0.416293457,317305.8996,362178.8407,4811.997964
10572.9929,0.390524512,3769.684558,628150.0736,0.407943766,502578.2698,513002.2951,6128.91368
9800.96095,0.477445651,3860.586865,640539.1004,0.384887566,414169.8375,374011.0038,5559.005339
12064.73899,0.339113181,4337.378746,557536.6223,0.419531892,320072.2748,424126.9496,5150.362813
9743.293741,0.479967121,4001.594028,679354.1073,0.396247561,291035.2061,357319.7765,5187.636945
14453.39039,0.254665798,4043.112753,613011.4434,0.410232966,311469.5577,403841.7779,4677.298128
11956.99789,0.36378646,3945.698079,564858.9872,0.415049843,378904.641,285595.6728,4839.2728
8557.312761,0.425614657,3331.838082,551426.3491,0.39472751,343735.4315,361007.6289,4899.985554
9707.857144,0.176259096,4136.448281,552564.3693,0.410881802,353094.3041,406655.724,4592.998387
9717.580311,0.599731356,3802.17831,572086.7613,0.403544066,406870.3383,355696.1416,5834.179662
11888.71123,0.403769534,3434.551592,525951.1647,0.388378614,410605.9837,389486.7244,5223.445909
9339.63572,0.371907313,5687.862985,540797.5557,0.401912695,368427.1655,394945.0519,6057.697063
11330.56159,0.831424731,3133.731529,585321.9628,0.407530334,367640.081,359947.9005,6290.295677
13057.11386,0.264851323,3837.707786,593289.3502,0.391034322,329850.9524,337424.5997,4475.3305
10517.51034,0.405710636,4770.77625,529329.0839,0.400210438,344686.7036,307815.5232,5358.843243
9493.530066,0.714860489,4391.820061,566957.3767,0.391823217,336609.5437,371586.515,6263.728002
11010.74979,0.230918162,3948.218897,620516.8754,0.417107933,305456.9615,435993.0019,4632.011879
11510.7978,0.366538905,4031.198102,504014.598,0.393885243,271669.5039,343902.9103,4769.427475
11292.79413,0.368981882,4191.250516,807904.6577,0.400058624,377446.58,640388.344,6078.36812
11746.38864,0.239185246,3730.895926,629945.0104,0.391420527,397540.866,454954.1601,5003.217343
13416.1729,0.494392831,4228.140743,589963.8492,0.406218418,403011.8219,448048.6075,5902.691939
9884.819571,0.42945049,3398.97133,515564.5591,0.413656235,375866.8032,408305.7829,5197.759282
11054.4375,0.483048512,3672.363531,609648.881,0.38743216,466166.9424,467684.7049,6051.741764
11238.68435,0.258382364,3412.574713,691683.7313,0.389557944,334286.7768,397090.0277,4513.475685
10425.38956,0.30540228,3250.006892,538323.9231,0.396616801,321622.9597,345377.0217,4363.267306
12344.34647,0.626265706,3741.806731,595070.2684,0.38979867,328739.0076,344579.9612,5630.943372
11466.43538,0.433552239,5043.378556,517658.5938,0.407605509,390846.9693,412693.1549,5932.974551
10779.41436,0.432906435,4106.444664,775453.2053,0.38209351,312401.1211,408596.9777,5291.051995
10582.63792,0.589597781,4582.508488,581720.5413,0.402166496,360711.215,503313.4313,6367.114055
10306.87927,0.275069016,3566.858286,636347.6486,0.392432216,443665.0771,375762.4889,5031.27044
10984.18083,0.54672119,4126.595736,513590.7267,0.418746161,357947.6178,420682.4493,5795.789954
11941.88746,0.397470488,3367.984689,548671.4127,0.387725284,323133.2242,338362.6952,4690.976358
12374.14479,0.295867908,3106.789754,560892.7417,0.412004785,357309.0846,405945.6946,4660.854115
10539.48735,0.34923119,4815.01149,635405.1029,0.386153451,295083.2143,444850.1618,5475.814365
12093.26155,0.388191924,3874.988317,676266.4679,0.383097205,355799.9199,475416.3761,5381.71839
10709.73839,0.242035137,3795.539187,708669.4331,0.412717306,372565.6057,410841.2407,4779.439141
11660.11027,0.533377522,3657.33704,544704.3149,0.394910584,300076.5554,452096.9858,5482.701034
11345.87703,0.320653908,4453.029197,541891.3419,0.385628244,394713.2684,341066.0588,5117.437291
10786.57519,0.514346253,4431.358201,600040.0545,0.380221114,395753.9029,421827.6983,5950.403177
11431.6686,0.313844086,3663.315074,540373.296,0.417376259,305594.0021,370006.4808,4569.538187
10459.53849,0.327141601,3560.187298,655118.9741,0.392830684,282827.5057,457718.034,4773.076833
11157.5277,0.437990682,3783.956272,555270.8447,0.417295204,318353.1507,522638.5418,5486.450564
9459.726184,0.526208294,4199.428012,546335.1035,0.411470525,391242.6614,409052.4638,5837.080874
11160.36715,0.538633602,3922.709271,538544.1097,0.380581661,314508.8556,396766.7025,5497.468509
11398.57733,0.562199204,4423.563603,626182.6965,0.417979511,371920.7508,425944.6428,6042.068187
9058.56064,0.29327383,4058.851514,615639.0087,0.414108717,399295.1318,407382.4638,5089.419067
11272.63677,0.303262188,4874.968392,716448.0049,0.408955639,353865.3624,372423.9017,5267.882097
10804.24385,0.359149745,3299.220557,674938.3726,0.409535949,274649.8951,398258.0108,4581.575365
10631.37187,0.334136982,3572.883124,673306.2256,0.380887609,386353.2908,429179.802,5120.309084
10213.53124,0.527825521,3526.724366,704598.4662,0.410496372,323557.2449,378147.4697,5329.900794
